height_mm,volume_litres
81.100,21.504366
81.200,21.544366
81.300,21.584383
81.400,21.624415
81.500,21.664463
81.600,21.704526
81.700,21.744605
81.800,21.784700
81.900,21.824810
82.000,21.864936
82.100,21.905077
82.200,21.945233
82.300,21.985405
82.400,22.025592
82.500,22.065794
82.600,22.106012
82.700,22.146244
82.800,22.186492
82.900,22.226755
83.000,22.267033
83.100,22.307325
83.200,22.347633
83.300,22.387955
83.400,22.428292
83.500,22.468644
83.600,22.509011
83.700,22.549393
83.800,22.589789
83.900,22.630199
84.000,22.670625
84.100,22.711064
84.200,22.751518
84.300,22.791987
84.400,22.832470
84.500,22.872967
84.600,22.913478
84.700,22.954004
84.800,22.994544
84.900,23.035098
85.000,23.075666
85.100,23.116249
85.200,23.156845
85.300,23.197455
85.400,23.238079
85.500,23.278717
85.600,23.319369
85.700,23.360035
85.800,23.400714
85.900,23.441407
86.000,23.482114
86.100,23.522834
86.200,23.563568
86.300,23.604316
86.400,23.645077
86.500,23.685851
86.600,23.726639
86.700,23.767440
86.800,23.808255
86.900,23.849083
87.000,23.889924
87.100,23.930778
87.200,23.971646
87.300,24.012526
87.400,24.053420
87.500,24.094327
87.600,24.135246
87.700,24.176179
87.800,24.217124
87.900,24.258083
88.000,24.299054
88.100,24.340038
88.200,24.381035
88.300,24.422044
88.400,24.463067
88.500,24.504101
88.600,24.545149
88.700,24.586209
88.800,24.627281
88.900,24.668366
89.000,24.709463
89.100,24.750573
89.200,24.791695
89.300,24.832829
89.400,24.873976
89.500,24.915135
89.600,24.956306
89.700,24.997489
89.800,25.038684
89.900,25.079891
90.000,25.121111
90.100,25.162342
90.200,25.203585
90.300,25.244840
90.400,25.286108
90.500,25.327386
90.600,25.368677
90.700,25.409980
90.800,25.451294
90.900,25.492619
91.000,25.533957
91.100,25.575306
91.200,25.616667
91.300,25.658039
91.400,25.699422
91.500,25.740817
91.600,25.782224
91.700,25.823642
91.800,25.865071
91.900,25.906511
92.000,25.947963
92.100,25.989426
92.200,26.030900
92.300,26.072385
92.400,26.113881
92.500,26.155389
92.600,26.196907
92.700,26.238436
92.800,26.279977
92.900,26.321528
93.000,26.363090
93.100,26.404663
93.200,26.446247
93.300,26.487841
93.400,26.529447
93.500,26.571062
93.600,26.612689
93.700,26.654326
93.800,26.695974
93.900,26.737632
94.000,26.779301
94.100,26.820980
94.200,26.862670
94.300,26.904370
94.400,26.946081
94.500,26.987802
94.600,27.029533
94.700,27.071274
94.800,27.113026
94.900,27.154787
95.000,27.196559
95.100,27.238341
95.200,27.280133
95.300,27.321935
95.400,27.363747
95.500,27.405569
95.600,27.447401
95.700,27.489243
95.800,27.531095
95.900,27.572956
96.000,27.614827
96.100,27.656708
96.200,27.698599
96.300,27.740499
96.400,27.782409
96.500,27.824329
96.600,27.866258
96.700,27.908197
96.800,27.950145
96.900,27.992103
97.000,28.034070
97.100,28.076046
97.200,28.118032
97.300,28.160027
97.400,28.202032
97.500,28.244046
97.600,28.286069
97.700,28.328101
